,name,party,chamber,text,score_pattern,score_vader
65,Carlos Curbelo,R,house,RT @NWSKeyWest 7 am EDT Monday: Today's forecast: Improving conditions. http://pbs.twimg.com/media/DJcDM3tXkAE_ymz.jpg,0.0,0.4215
66,Martin Heinrich,D,senate,"@OIA I'll continue standing with NMs to make sure our children &amp; all future generations can benefit from our #PublicLands, watersheds &amp;wildlife.",0.25,0.6486
67,John Cornyn,R,senate,"Can you imagine the adoring stories if President Obama had pulled this off? https://twitter.com/johncornyn/status/883411558017191937 QT @JohnCornyn U.S., Russia agree to collaborate in backing cease-fire in southwest Syria https://www.washingtonpost.com/world/national-security/us-russia-agree-to-collaborate-backing-cease-fire-in-southwest-syria/2017/07/07/2fcbfb5e-633b-11e7-a4f7-af34fc1d9d39_story.html",0.2,0.8668
68,Doug Collins,R,house,Glad to spend time touring a #GA09 business with Leon #Farmer Distributors in Athens this week. http://pbs.twimg.com/media/DH_kTFCUwAEnm7u.jpg http://pbs.twimg.com/media/DH_kTFFV0AAMcOw.jpg,0.5,0.4588
69,Tom Udall,D,senate,"Our #BanChlorpyrifos bill will help protect kids, farmers and farmworkers from exposure to this dangerous pesticide. https://www.eenews.net/eedaily/2017/07/26/stories/1060057913 http://pbs.twimg.com/media/DFw-NtaXcAANmQo.jpg",-0.6,0.1717
70,Elizabeth Warren,D,senate,"When General Nicholson, our Commanding General in Afghanistan, visited me in DC, I told him I'd like to return the favor. http://pbs.twimg.com/media/DD54ROJW0AIm_pd.jpg",0.05,0.6369
71,Bill Pascrell,D,house,"Obama Administration had extensive review -- readiness implications, experiences of transgender servicemembers overseas, health care needs.",0.0,0.6369
72,Pramila Jayapal,D,house,"RT @DebtCrisisOrg @RepJayapal @RobinHoodTax @SenSanders Thank you @RepJayapal for being a champion for #students. Together, we will create a future that offers affordable #CollegeForAll.",0.05,0.8176
73,Shelley Moore Capito,R,senate,ICYMI: Announced new @HHSGov funding that ensures our miners have the best medical resources available. Details: http://bit.ly/2rUGCY8,0.384090909091,0.6369
74,Neal Dunn,R,house,RT @The_News_Herald Dunn bill aims to prevent vet opioid abuse http://newsherald.com/news/20171005/dunn-bill-aims-to-prevent-vet-opioid-abuse,0.0,-0.6249
